 TICKER,REPORT DATE,DATE,BEFORE AFTER MARKET,CURRENCY,EPS ACTUAL,EPS ESTIMATE,EPS DIFFERENCE,SURPRISE PERCENT
20MICRONS,2023-11-09,2023-09-30,AfterMarket,INR,,,,
20MICRONS,2023-07-20,2023-06-30,AfterMarket,INR,,,,
20MICRONS,2023-05-01,2023-03-31,AfterMarket,INR,,,,
20MICRONS,2023-01-19,2022-12-31,AfterMarket,INR,,,,
20MICRONS,2020-08-13,2020-06-30,,INR,-1.79,0,-1.79,
20MICRONS,2020-06-08,2020-03-31,,INR,0.89,0,0.89,
20MICRONS,2020-02-12,2019-12-31,,INR,1.53,0,1.53,
20MICRONS,2019-11-01,2019-09-30,,INR,2.01,0,2.01,
20MICRONS,2019-08-13,2019-06-30,,INR,2.4,0,2.4,
20MICRONS,2019-05-28,2019-03-31,,INR,7.06,0,7.06,
20MICRONS,2019-02-07,2018-12-31,,INR,1.24,0,1.24,
20MICRONS,2018-11-14,2018-09-30,,INR,1.97,0,1.97,
20MICRONS,2018-08-09,2018-06-30,,INR,2.12,0,2.12,
20MICRONS,2018-05-24,2018-03-31,,INR,1.16,0,1.16,
20MICRONS,2018-02-13,2017-12-31,,INR,1.42,0,1.42,
20MICRONS,2017-09-30,2017-09-30,,INR,1.25,0.84,0.41,48.8095
20MICRONS,2012-12-01,2012-09-30,,INR,1.22,0,1.22,
20MICRONS,2012-01-24,2011-12-31,,INR,0.33,0,0.33,
20MICRONS,2011-10-24,2011-09-30,,INR,0.87,0,0.87,
20MICRONS,2011-08-04,2011-06-30,,INR,1.43,0,1.43,
20MICRONS,2011-05-04,2011-03-31,,INR,0.24,0,0.24,
3IINFOLTD,2023-10-30,2023-09-30,AfterMarket,INR,,,,
3IINFOLTD,2023-07-27,2023-06-30,AfterMarket,INR,,,,
3IINFOLTD,2023-05-08,2023-03-31,AfterMarket,INR,,,,
3IINFOLTD,2023-02-07,2022-12-31,AfterMarket,INR,,,,
3MINDIA,2023-11-07,2023-09-30,AfterMarket,INR,,,,
3MINDIA,2023-08-08,2023-06-30,AfterMarket,INR,,,,
3MINDIA,2023-05-25,2023-03-31,AfterMarket,INR,,,,
3MINDIA,2023-02-01,2022-12-31,AfterMarket,INR,,,,
5PAISA,2023-10-17,2023-09-30,AfterMarket,INR,,,,
5PAISA,2023-07-10,2023-06-30,AfterMarket,INR,,,,
5PAISA,2023-04-25,2023-03-31,AfterMarket,INR,,,,
5PAISA,2023-01-09,2022-12-31,AfterMarket,INR,,,,
63MOONS,2023-11-08,2023-09-30,AfterMarket,INR,,,,
63MOONS,2023-08-07,2023-06-30,AfterMarket,INR,,,,
63MOONS,2023-05-25,2023-03-31,AfterMarket,INR,,,,
63MOONS,2023-02-09,2022-12-31,AfterMarket,INR,,,,
AAATECH,2022-12-21,2022-09-30,AfterMarket,,,,,
AAKASH,2022-09-30,2022-09-30,,INR,0.1277,,,
AAKASH,2022-03-31,2022-03-31,,INR,0.1889,,,
AAKASH,2021-12-31,2021-12-31,,INR,0.1266,,,
AAKASH,2021-11-02,2021-09-30,,INR,1.3412,,,
AAKASH,2021-08-12,2021-06-30,,INR,1.5499,,,
AAKASH,2021-03-31,2021-03-31,,INR,0.204,,,
AAKASH,2020-12-31,2020-12-31,,INR,0.0481,,,
AAKASH,2020-09-30,2020-09-30,,INR,0.0802,,,
AAKASH,2020-06-30,2020-06-30,,INR,0.075,,,
AARTIDRUGS,2023-10-18,2023-09-30,AfterMarket,INR,,,,
AARTIDRUGS,2023-07-25,2023-06-30,AfterMarket,INR,,,,
AARTIDRUGS,2023-05-08,2023-03-31,AfterMarket,INR,,,,
AARTIDRUGS,2023-01-30,2022-12-31,AfterMarket,INR,,,,
AARTIIND,2023-11-13,2023-09-30,AfterMarket,INR,,,,
AARTIIND,2023-08-08,2023-06-30,AfterMarket,INR,,,,
AARTIIND,2023-05-25,2023-03-31,AfterMarket,INR,,,,
AARTIIND,2023-02-03,2022-12-31,AfterMarket,INR,,,,
AARVEEDEN,2023-11-13,2023-09-30,AfterMarket,INR,,,,
AARVEEDEN,2023-08-11,2023-06-30,AfterMarket,INR,,,,
AARVEEDEN,2023-05-29,2023-03-31,AfterMarket,INR,,,,
AARVEEDEN,2023-02-06,2022-12-31,AfterMarket,INR,,,,
AARVI,2022-09-30,2022-09-30,,INR,2.7652,,,
AARVI,2022-06-30,2022-06-30,,INR,2.9216,,,
AARVI,2022-03-31,2022-03-31,,INR,1.8011,,,
AARVI,2021-12-31,2021-12-31,,INR,2.581,,,
AARVI,2021-09-30,2021-09-30,,INR,2.2825,,,
AARVI,2021-06-30,2021-06-30,,INR,1.4978,,,
AARVI,2021-03-31,2021-03-31,,INR,2.0513,,,
AARVI,2020-12-31,2020-12-31,,INR,1.7901,,,
AARVI,2020-09-30,2020-09-30,,INR,1.3088,,,
AARVI,2020-06-30,2020-06-30,,INR,1.9252,,,
AAVAS,2023-10-18,2023-09-30,AfterMarket,INR,,,,
AAVAS,2023-07-26,2023-06-30,AfterMarket,INR,,,,
AAVAS,2023-05-03,2023-03-31,AfterMarket,INR,,,,
AAVAS,2023-02-01,2022-12-31,AfterMarket,INR,,,,
AAVAS,2022-07-28,2022-06-30,BeforeMarket,INR,11.24,8.21,3.03,36.9062
AAVAS,2022-05-05,2022-03-31,BeforeMarket,INR,14.57,11.88,2.69,22.6431
AAVAS,2022-02-03,2021-12-31,BeforeMarket,INR,11.19,12,-0.81,-6.75
AAVAS,2021-10-28,2021-09-30,,INR,7.46,10.17,-2.71,-26.647
AAVAS,2021-07-29,2021-06-30,,INR,7.46,10.17,-2.71,-26.647
AAVAS,2021-03-31,2021-03-31,,INR,11.06,10.85,0.21,1.9355
ABAN,2023-11-07,2023-09-30,AfterMarket,INR,,,,
ABAN,2023-08-01,2023-06-30,AfterMarket,INR,,,,
ABAN,2023-05-24,2023-03-31,AfterMarket,INR,,,,
ABAN,2023-02-07,2022-12-31,AfterMarket,INR,,,,
ABAN,2018-06-30,2018-06-30,,INR,-53.6,,,
ABB,2023-11-09,2023-09-30,AfterMarket,INR,,,,
ABB,2023-08-07,2023-06-30,AfterMarket,INR,,,,
ABB,2023-05-02,2023-03-31,AfterMarket,INR,,,,
ABB,2023-02-10,2022-12-31,AfterMarket,INR,,8.7,,
ABB,2022-11-11,2022-09-30,AfterMarket,INR,7.4,7,0.4,5.7143
ABB,2022-08-11,2022-06-30,BeforeMarket,INR,7.19,6.8,0.39,5.7353
ABB,2022-03-31,2022-03-31,,INR,3.6,6.45,-2.85,-44.186
ABB,2021-12-31,2021-12-31,,INR,6.93,6,0.93,15.5
ABB,2021-09-30,2021-09-30,,INR,5.66,5,0.66,13.2
ABB,2017-12-31,2017-12-31,,INR,8.09,8.37,-0.28,-3.3453
ABB,2017-09-30,2017-09-30,,INR,3.94,4.16,-0.22,-5.2885
ABB,2017-06-30,2017-06-30,,INR,3.54,4.33,-0.79,-18.2448
ABB,2017-03-31,2017-03-31,,INR,4.16,4.33,-0.17,-3.9261
ABB,2016-12-31,2016-12-31,,INR,6.93,7.33,-0.4,-5.457
ABBOTINDIA,2023-11-13,2023-09-30,AfterMarket,INR,,,,
ABBOTINDIA,2023-08-08,2023-06-30,AfterMarket,INR,,,,
ABBOTINDIA,2023-05-15,2023-03-31,AfterMarket,INR,,,,
ABBOTINDIA,2023-02-07,2022-12-31,AfterMarket,INR,,,,
ABCAPITAL,2023-11-06,2023-09-30,AfterMarket,INR,,,,
ABCAPITAL,2023-08-01,2023-06-30,AfterMarket,INR,,,,
ABCAPITAL,2023-05-10,2023-03-31,AfterMarket,INR,,,,
ABCAPITAL,2023-02-01,2022-12-31,AfterMarket,INR,,,,
ABCAPITAL,2018-03-31,2018-03-31,,INR,0.94,0.93,0.01,1.0753
ABCAPITAL,2017-12-31,2017-12-31,,INR,0.98,1.11,-0.13,-11.7117
ABFRL,2023-11-02,2023-09-30,AfterMarket,INR,,,,
ABFRL,2023-08-03,2023-06-30,AfterMarket,INR,,,,
ABFRL,2023-05-16,2023-03-31,AfterMarket,INR,,,,
ABFRL,2023-02-02,2022-12-31,AfterMarket,INR,,,,
ABFRL,2022-05-24,2022-03-31,BeforeMarket,INR,0.47,-0.8,1.27,158.75
ABFRL,2021-09-30,2021-09-30,,INR,0.15,-0.23,0.38,165.2174
ABFRL,2018-11-02,2018-09-30,,INR,0.55,0.3,0.25,83.3333
ABFRL,2018-08-01,2018-06-30,,INR,0.57,0.45,0.12,26.6667
ABFRL,2018-05-11,2018-03-31,,INR,0.57,0.45,0.12,26.6667
ABFRL,2017-12-31,2017-12-31,,INR,0.45,0.5,-0.05,-10
ABFRL,2017-09-30,2017-09-30,,INR,-0.13,0.4,-0.53,-132.5
ABFRL,2017-06-30,2017-06-30,,INR,-0.26,-0.3,0.04,13.3333
ABFRL,2017-03-31,2017-03-31,,INR,0.28,0,0.28,
ABFRL,2016-12-31,2016-12-31,,INR,-0.16,-0.1,-0.06,-60
ACC,2023-10-16,2023-09-30,AfterMarket,INR,,,,
ACC,2023-07-12,2023-06-30,AfterMarket,INR,,,,
ACC,2023-04-17,2023-03-31,AfterMarket,INR,,,,
ACC,2023-02-07,2022-12-31,AfterMarket,INR,,23.93,,
ACC,2022-10-17,2022-09-30,AfterMarket,INR,-3.98,8.69,-12.67,-145.7998
ACC,2022-07-14,2022-06-30,BeforeMarket,INR,11.8,18.29,-6.49,-35.4839
ACC,2022-04-19,2022-03-31,BeforeMarket,INR,17.78,21.04,-3.26,-15.4943
ACC,2022-02-09,2021-12-31,BeforeMarket,INR,17.78,21.04,-3.26,-15.4943
ACC,2021-10-19,2021-09-30,,INR,23.85,21.32,2.53,11.8668
ACC,2018-12-31,2018-12-31,,INR,0.35,,,
ACC,2018-09-30,2018-09-30,,INR,10.92,12.66,-1.74,-13.7441
ACC,2018-06-30,2018-06-30,,INR,17.29,12.01,5.28,43.9634
ACC,2018-03-31,2018-03-31,,INR,13.02,10.55,2.47,23.4123
ACC,2017-12-31,2017-12-31,,INR,10.86,9.2,1.66,18.0435
ACC,2017-09-30,2017-09-30,,INR,9.44,9.36,0.08,0.8547
ACC,2017-06-30,2017-06-30,,INR,17.09,15.71,1.38,8.7842
ACC,2017-03-31,2017-03-31,,INR,11.24,9.6,1.64,17.0833
ACC,2016-12-31,2016-12-31,,INR,4.83,7.26,-2.43,-33.4711
ACCELYA,2023-10-17,2023-09-30,AfterMarket,INR,,,,
ACCELYA,2023-07-31,2023-06-30,AfterMarket,INR,,,,
ACCELYA,2023-05-01,2023-03-31,AfterMarket,INR,,,,
ACCELYA,2023-01-25,2022-12-31,AfterMarket,INR,,,,
ACCELYA,2017-12-31,2017-12-31,,INR,15.38,16.94,-1.56,-9.209
ACCELYA,2017-11-02,2017-09-30,,INR,15.38,16.94,-1.56,-9.209
ACCELYA,2017-08-09,2017-06-30,,INR,15.1,16.73,-1.63,-9.743
ACCELYA,2017-05-03,2017-03-31,,INR,15.1,16.73,-1.63,-9.743
ACCELYA,2017-02-07,2016-12-31,,INR,16.34,15.79,0.55,3.4832
ACCELYA,2016-09-30,2016-09-30,,INR,16.34,15.79,0.55,3.4832
ACCELYA,2016-06-30,2016-06-30,,INR,16.07,14.38,1.69,11.7524
ACCURACY,2023-12-21,2023-09-30,AfterMarket,INR,,,,
ACCURACY,2022-12-23,2022-09-30,AfterMarket,INR,,,,
ACE,2023-11-07,2023-09-30,AfterMarket,INR,,,,
ACE,2023-08-08,2023-06-30,AfterMarket,INR,,,,
ACE,2023-05-22,2023-03-31,AfterMarket,INR,,,,
ACE,2023-02-03,2022-12-31,AfterMarket,INR,,,,
ACE,2018-03-31,2018-03-31,,INR,1.83,1.8,0.03,1.6667
ACE,2017-12-31,2017-12-31,,INR,1.4,0.8,0.6,75
ACE,2017-09-30,2017-09-30,,INR,0.94,0.6,0.34,56.6667
ACE,2017-06-30,2017-06-30,,INR,0.32,0.4,-0.08,-20
ACE,2017-03-31,2017-03-31,,INR,0.54,0.6,-0.06,-10
ACE,2016-12-31,2016-12-31,,INR,0.36,0.44,-0.08,-18.1818
ADANIENT,2023-11-01,2023-09-30,AfterMarket,INR,,,,
ADANIENT,2023-08-02,2023-06-30,AfterMarket,INR,,,,
ADANIENT,2023-05-01,2023-03-31,AfterMarket,INR,,,,
ADANIENT,2023-02-13,2022-12-31,AfterMarket,INR,,,,
ADANIGREEN,2023-11-08,2023-09-30,AfterMarket,INR,,,,
ADANIGREEN,2023-07-31,2023-06-30,AfterMarket,INR,,,,
ADANIGREEN,2023-05-02,2023-03-31,AfterMarket,INR,,,,
ADANIGREEN,2023-01-31,2022-12-31,AfterMarket,INR,,,,
ADANIPORTS,2023-10-30,2023-09-30,AfterMarket,INR,,,,
ADANIPORTS,2023-08-07,2023-06-30,AfterMarket,INR,,,,
ADANIPORTS,2023-05-22,2023-03-31,AfterMarket,INR,,,,
ADANIPORTS,2023-01-30,2022-12-31,AfterMarket,INR,,,,
ADANIPORTS,2021-06-30,2021-06-30,,INR,6.41,6.67,-0.26,-3.8981
ADANIPORTS,2018-06-30,2018-06-30,,INR,3.34,4.39,-1.05,-23.918
ADANIPORTS,2017-06-30,2017-06-30,,INR,3.4,4.02,-0.62,-15.4229
ADANIPORTS,2016-12-31,2016-12-31,,INR,4.1,4.21,-0.11,-2.6128
ADANIPORTS,2016-09-30,2016-09-30,,INR,5.26,3.79,1.47,38.7863
ADANIPORTS,2016-06-30,2016-06-30,,INR,4.04,3.33,0.71,21.3213
ADANIPOWER,2023-11-09,2023-09-30,AfterMarket,INR,,,,
ADANIPOWER,2023-08-01,2023-06-30,AfterMarket,INR,,,,
ADANIPOWER,2023-05-03,2023-03-31,AfterMarket,INR,,,,
ADANIPOWER,2023-02-01,2022-12-31,AfterMarket,INR,,,,
ADANIPOWER,2018-09-30,2018-09-30,,INR,1,-0.38,1.38,363.1579
ADANIPOWER,2018-06-30,2018-06-30,,INR,-2.14,1.43,-3.57,-249.6503
ADANIPOWER,2018-03-31,2018-03-31,,INR,-1.68,-4.48,2.8,62.5
ADANIPOWER,2017-12-31,2017-12-31,,INR,-3.32,-0.69,-2.63,-381.1594
ADANIPOWER,2017-09-30,2017-09-30,,INR,0.76,-0.65,1.41,216.9231
ADANIPOWER,2017-06-30,2017-06-30,,INR,-1.18,-1.57,0.39,24.8408
ADANITRANS,2023-11-02,2023-09-30,AfterMarket,INR,,,,
ADANITRANS,2023-08-01,2023-06-30,AfterMarket,INR,,,,
ADANITRANS,2023-05-03,2023-03-31,AfterMarket,INR,,,,
ADANITRANS,2023-02-01,2022-12-31,AfterMarket,INR,,,,
ADFFOODS,2023-11-06,2023-09-30,AfterMarket,INR,,,,
ADFFOODS,2023-07-26,2023-06-30,AfterMarket,INR,,,,
ADFFOODS,2023-05-15,2023-03-31,AfterMarket,INR,,,,
ADFFOODS,2023-01-30,2022-12-31,AfterMarket,INR,,,,
ADORWELD,2023-11-02,2023-09-30,AfterMarket,INR,,,,
ADORWELD,2023-08-09,2023-06-30,AfterMarket,INR,,,,
ADORWELD,2023-05-18,2023-03-31,AfterMarket,INR,,,,
ADORWELD,2023-02-08,2022-12-31,AfterMarket,INR,,,,
ADVANIHOTR,2023-11-13,2023-09-30,AfterMarket,INR,,,,
ADVANIHOTR,2023-07-24,2023-06-30,AfterMarket,INR,,,,
ADVANIHOTR,2023-05-18,2023-03-31,AfterMarket,INR,,,,
ADVANIHOTR,2023-02-06,2022-12-31,AfterMarket,INR,,,,
ADVENZYMES,2023-11-09,2023-09-30,AfterMarket,INR,,,,
ADVENZYMES,2023-08-04,2023-06-30,AfterMarket,INR,,,,
ADVENZYMES,2023-05-18,2023-03-31,AfterMarket,INR,,,,
ADVENZYMES,2023-02-03,2022-12-31,AfterMarket,INR,,,,
ADVENZYMES,2018-03-31,2018-03-31,,INR,2.43,2.86,-0.43,-15.035
ADVENZYMES,2017-12-31,2017-12-31,,INR,2.25,2.1,0.15,7.1429
ADVENZYMES,2017-09-30,2017-09-30,,INR,1.96,2.2,-0.24,-10.9091
ADVENZYMES,2017-06-30,2017-06-30,,INR,1.46,2.6,-1.14,-43.8462
AEGISCHEM,2023-11-06,2023-09-30,AfterMarket,INR,,,,
AEGISCHEM,2023-08-10,2023-06-30,AfterMarket,INR,,,,
AEGISCHEM,2023-05-25,2023-03-31,AfterMarket,INR,,,,
AEGISCHEM,2023-02-08,2022-12-31,AfterMarket,INR,,,,
AFFLE,2023-11-06,2023-09-30,AfterMarket,INR,,,,
AFFLE,2023-08-04,2023-06-30,AfterMarket,INR,,,,
AFFLE,2023-05-12,2023-03-31,AfterMarket,INR,,,,
AFFLE,2023-02-03,2022-12-31,AfterMarket,INR,,5.25,,
AFFLE,2022-11-07,2022-09-30,AfterMarket,INR,4.43,5.75,-1.32,-22.9565
AFFLE,2022-08-08,2022-06-30,BeforeMarket,INR,4.13,4,0.13,3.25
AFFLE,2022-05-14,2022-03-31,BeforeMarket,INR,5.18,5.77,-0.59,-10.2253
AFFLE,2022-02-05,2021-12-31,BeforeMarket,INR,4.7,7.8,-3.1,-39.7436
AFFLE,2021-11-10,2021-09-30,,INR,18.08,7.96,10.12,127.1357
AFFLE,2021-08-07,2021-06-30,,INR,2.74,2.18,0.56,25.6881
AFFLE,2021-03-31,2021-03-31,,INR,4.6,1.8,2.8,155.5556
AFFLE,2020-12-31,2020-12-31,,INR,2.41,2.2,0.21,9.5455
AGARIND,2023-11-13,2023-09-30,AfterMarket,INR,,,,
AGARIND,2023-08-07,2023-06-30,AfterMarket,INR,,,,
AGARIND,2023-05-16,2023-03-31,AfterMarket,INR,,,,
AGARIND,2023-02-06,2022-12-31,AfterMarket,INR,,,,
AGI,2023-07-26,2023-06-30,AfterMarket,INR,,,,
AGI,2023-05-09,2023-03-31,AfterMarket,INR,,,,
AGI,2023-01-25,2022-12-31,AfterMarket,INR,,,,
AGROPHOS,2022-11-23,2022-09-30,AfterMarket,INR,0.6611,,,
AGROPHOS,2022-06-30,2022-06-30,,INR,1.1887,,,
AGROPHOS,2022-03-31,2022-03-31,,INR,0.2762,,,
AGROPHOS,2021-12-31,2021-12-31,,INR,1.5734,,,
AGROPHOS,2021-09-30,2021-09-30,,INR,0.3995,,,
AGROPHOS,2021-06-30,2021-06-30,,INR,0.6313,,,
AGROPHOS,2021-03-31,2021-03-31,,INR,-0.0986,,,
AGROPHOS,2020-12-31,2020-12-31,,INR,0.8829,,,
AGROPHOS,2020-09-30,2020-09-30,,INR,0.5722,,,
AGROPHOS,2020-06-30,2020-06-30,,INR,0.217,,,
AGROPHOS,2020-03-31,2020-03-31,,INR,-0.0789,,,
AGROPHOS,2019-12-31,2019-12-31,,INR,1.3515,,,
AGROPHOS,2019-09-30,2019-09-30,,INR,0.5179,,,
AGROPHOS,2019-06-30,2019-06-30,,INR,0.143,,,
AHLADA,2022-12-21,2022-09-30,AfterMarket,INR,,,,
AHLEAST,2017-09-30,2017-09-30,,INR,1.4,4.88,-3.48,-71.3115
AIAENG,2023-11-13,2023-09-30,AfterMarket,INR,,,,
AIAENG,2023-08-07,2023-06-30,AfterMarket,INR,,,,
AIAENG,2023-05-23,2023-03-31,AfterMarket,INR,,,,
AIAENG,2023-01-25,2022-12-31,AfterMarket,INR,,,,
AIAENG,2022-08-09,2022-06-30,BeforeMarket,INR,20.19,9.9,10.29,103.9394
AIAENG,2022-05-25,2022-03-31,BeforeMarket,INR,20.63,20.38,0.25,1.2267
AIAENG,2021-10-30,2021-09-30,BeforeMarket,INR,14.59,15.6,-1.01,-6.4744
AIAENG,2021-03-31,2021-03-31,,INR,14.18,14.6,-0.42,-2.8767
AIAENG,2018-10-31,2018-09-30,,INR,12.83,12.21,0.62,5.0778
AIAENG,2018-08-09,2018-06-30,,INR,11.14,11.94,-0.8,-6.7002
AIAENG,2018-05-16,2018-03-31,,INR,9.43,11.28,-1.85,-16.4007
AIAENG,2018-02-15,2017-12-31,,INR,11.7,10.01,1.69,16.8831
AIAENG,2017-09-30,2017-09-30,,INR,9.17,9.53,-0.36,-3.7775
AIAENG,2017-06-30,2017-06-30,,INR,9.38,11.46,-2.08,-18.1501
AIAENG,2017-03-31,2017-03-31,,INR,12.2,13.2,-1,-7.5758
AIAENG,2016-12-31,2016-12-31,,INR,12.76,11.15,1.61,14.4395
AIRAN,2022-12-19,2022-09-30,AfterMarket,INR,0.198,,,
AIRAN,2022-03-31,2022-03-31,,INR,0.2678,,,
AIRAN,2022-01-28,2021-12-31,BeforeMarket,INR,0.2029,,,
AIRAN,2021-09-30,2021-09-30,,INR,0.1726,,,
AIRAN,2021-06-30,2021-06-30,,INR,0.1257,,,
AIRAN,2021-03-31,2021-03-31,,INR,0.1978,,,
AIRAN,2020-12-31,2020-12-31,,INR,0.1945,,,
AIRAN,2020-09-30,2020-09-30,,INR,0.0635,,,
AIRAN,2020-06-30,2020-06-30,,INR,0.0126,,,
AIRAN,2020-03-31,2020-03-31,,INR,0.1832,,,
AIRAN,2019-12-31,2019-12-31,,INR,0.1288,,,
AIRAN,2019-09-30,2019-09-30,,INR,0.1185,,,
AIRAN,2019-06-30,2019-06-30,,INR,0.1072,,,
AJANTPHARM,2023-01-30,2022-12-31,AfterMarket,INR,,,,
AJANTPHARM,2021-06-30,2021-06-30,,INR,20.08,19.6,0.48,2.449
AJANTPHARM,2018-09-30,2018-09-30,,INR,14.25,10.91,3.34,30.6141
AJANTPHARM,2018-06-30,2018-06-30,,INR,12.02,11.78,0.24,2.0374
AJANTPHARM,2018-03-31,2018-03-31,,INR,10.74,12.32,-1.58,-12.8247
AJANTPHARM,2017-12-31,2017-12-31,,INR,16.75,12,4.75,39.5833
AJANTPHARM,2017-03-31,2017-03-31,,INR,12.95,12.2,0.75,6.1475
AJMERA,2017-09-30,2017-09-30,,INR,4.09,4.69,-0.6,-12.7932
AKASH,2022-09-30,2022-09-30,,INR,0.1286,,,
AKASH,2022-03-31,2022-03-31,,INR,1.6238,,,
AKASH,2022-01-28,2021-12-31,BeforeMarket,INR,-0.8229,,,
AKASH,2021-10-16,2021-09-30,,INR,0.2511,,,
AKASH,2021-06-30,2021-06-30,,INR,0.2982,,,
AKASH,2021-03-31,2021-03-31,,INR,1.1556,,,
AKASH,2020-12-31,2020-12-31,,INR,-0.6928,,,
AKASH,2020-11-05,2020-09-30,,INR,0.1397,,,
AKASH,2020-06-30,2020-06-30,,INR,0.0816,,,
AKSHOPTFBR,2023-10-19,2023-09-30,AfterMarket,INR,,,,
AKSHOPTFBR,2023-07-27,2023-06-30,AfterMarket,INR,,,,
AKSHOPTFBR,2023-05-11,2023-03-31,AfterMarket,INR,,,,
AKSHOPTFBR,2023-02-01,2022-12-31,AfterMarket,INR,,,,
AKZOINDIA,2023-11-02,2023-09-30,AfterMarket,INR,,,,
AKZOINDIA,2023-08-03,2023-06-30,AfterMarket,INR,,,,
AKZOINDIA,2023-05-25,2023-03-31,AfterMarket,INR,,,,
AKZOINDIA,2023-02-09,2022-12-31,AfterMarket,INR,,,,
ALEMBICLTD,2023-11-13,2023-09-30,AfterMarket,INR,,,,
ALEMBICLTD,2023-08-08,2023-06-30,AfterMarket,INR,,,,
ALEMBICLTD,2023-05-03,2023-03-31,AfterMarket,INR,,,,
ALEMBICLTD,2023-02-13,2022-12-31,AfterMarket,INR,,,,
ALICON,2023-11-13,2023-09-30,AfterMarket,INR,,,,
ALICON,2023-08-09,2023-06-30,AfterMarket,INR,,,,
ALICON,2023-05-15,2023-03-31,AfterMarket,INR,,,,
ALICON,2023-02-13,2022-12-31,AfterMarket,INR,,,,
ALICON,2017-12-31,2017-12-31,,INR,7.82,5.96,1.86,31.2081
ALICON,2017-03-31,2017-03-31,,INR,7.15,6.5,0.65,10
ALKALI,2023-11-08,2023-09-30,AfterMarket,INR,,,,
ALKALI,2023-09-01,2023-06-30,AfterMarket,INR,,,,
ALKEM,2023-11-09,2023-09-30,AfterMarket,INR,,,,
ALKEM,2023-08-03,2023-06-30,AfterMarket,INR,,,,
ALKEM,2023-05-11,2023-03-31,AfterMarket,INR,,,,
ALKEM,2023-02-02,2022-12-31,AfterMarket,INR,,,,
ALKEM,2022-11-11,2022-09-30,AfterMarket,INR,27.67,31.85,-4.18,-13.124
ALKEM,2022-08-05,2022-06-30,BeforeMarket,INR,10.68,26.4,-15.72,-59.5455
ALKEM,2022-03-31,2022-03-31,,INR,10.25,26.3,-16.05,-61.0266
ALKEM,2021-12-31,2021-12-31,,INR,43.96,32,11.96,37.375
ALKEM,2021-09-30,2021-09-30,,INR,45.52,38.2,7.32,19.1623
ALKEM,2018-11-02,2018-09-30,,INR,21.28,24.05,-2.77,-11.5177
ALKEM,2018-08-10,2018-06-30,,INR,11.39,17.8,-6.41,-36.0112
ALKEM,2018-05-30,2018-03-31,,INR,5.61,15,-9.39,-62.6
ALKEM,2018-02-09,2017-12-31,,INR,26.82,21.4,5.42,25.3271
ALKEM,2017-09-30,2017-09-30,,INR,26.82,21.4,5.42,25.3271
ALKEM,2017-06-30,2017-06-30,,INR,5.99,14.75,-8.76,-59.3898
ALKEM,2017-03-31,2017-03-31,,INR,11.46,12.15,-0.69,-5.679
ALKEM,2016-12-31,2016-12-31,,INR,19.52,16.35,3.17,19.3884
ALKYLAMINE,2023-11-06,2023-09-30,AfterMarket,INR,,,,
ALKYLAMINE,2023-07-31,2023-06-30,AfterMarket,INR,,,,
ALKYLAMINE,2023-05-17,2023-03-31,AfterMarket,INR,,,,
ALKYLAMINE,2023-01-31,2022-12-31,AfterMarket,INR,,,,
ALLCARGO,2023-11-07,2023-09-30,AfterMarket,INR,,,,
ALLCARGO,2023-08-08,2023-06-30,AfterMarket,INR,,,,
ALLCARGO,2023-05-24,2023-03-31,AfterMarket,INR,,,,
ALLCARGO,2023-02-09,2022-12-31,AfterMarket,INR,,,,
ALLCARGO,2018-03-31,2018-03-31,,INR,0.72,2.15,-1.43,-66.5116
ALLCARGO,2017-12-31,2017-12-31,,INR,1.41,2.5,-1.09,-43.6
ALLCARGO,2017-09-30,2017-09-30,,INR,2.6,2.41,0.19,7.8838
ALLCARGO,2017-06-30,2017-06-30,,INR,2.49,2.3,0.19,8.2609
ALLSEC,2023-10-26,2023-09-30,AfterMarket,INR,,,,
ALLSEC,2017-09-30,2017-09-30,,INR,11.22,11.91,-0.69,-5.7935
ALOKINDS,2023-10-13,2023-09-30,AfterMarket,INR,,,,
ALOKINDS,2023-07-17,2023-06-30,AfterMarket,INR,,,,
ALOKINDS,2023-04-12,2023-03-31,AfterMarket,INR,,,,
ALOKINDS,2023-01-16,2022-12-31,AfterMarket,INR,,,,
ALPA,2018-03-31,2018-03-31,,INR,-1.33,1.09,-2.42,-222.0183
AMARAJABAT,2023-11-01,2023-09-30,AfterMarket,INR,,,,
AMARAJABAT,2023-08-04,2023-06-30,AfterMarket,INR,,,,
AMARAJABAT,2023-05-18,2023-03-31,AfterMarket,INR,,,,
AMARAJABAT,2023-01-25,2022-12-31,AfterMarket,INR,,,,
AMBER,2023-10-19,2023-09-30,AfterMarket,INR,,,,
AMBER,2023-08-07,2023-06-30,AfterMarket,INR,,,,
AMBER,2023-05-11,2023-03-31,AfterMarket,INR,,,,
AMBER,2022-10-21,2022-09-30,AfterMarket,INR,-0.88,3.4,-4.28,-125.8824
AMBER,2022-06-30,2022-06-30,,INR,12.48,9.57,2.91,30.4075
AMBER,2021-12-31,2021-12-31,,INR,9.53,10.13,-0.6,-5.923
AMBER,2021-09-30,2021-09-30,,INR,2.21,6.52,-4.31,-66.1043
AMBIKCO,2023-11-07,2023-09-30,AfterMarket,INR,,,,
AMBIKCO,2023-08-08,2023-06-30,AfterMarket,INR,,,,
AMBIKCO,2023-05-26,2023-03-31,AfterMarket,INR,,,,
